username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
6854afs,Animals deserve a life as well not treated as they are now just a commodity just for profit and abuse. This abuse needs to stop before we destroy all beauty,,3445,4199,122850,2015-04-01 18:37:41,2020-05-04 13:11:46,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
BarvelH,,"Los Angeles, CA",141,67,2580,2011-08-21 13:53:13,2020-05-04 13:11:34,1,"""With the proper diet no doctor is necessary"" ￼ #nutrition #wellness #wellnessblog #plantbased #plantmedicine #plantbasednutrition #healthyself #naturalhealing #foodismedicine #healthyliving #healthylifestyle #fruits #vegetables  #holisticliving #naturalwellness #wellnesswarrior https://t.co/Rvje4zDnYZ","[{'text': 'nutrition', 'indices': [67, 77]}, {'text': 'wellness', 'indices': [78, 87]}, {'text': 'wellnessblog', 'indices': [88, 101]}, {'text': 'plantbased', 'indices': [102, 113]}, {'text': 'plantmedicine', 'indices': [114, 128]}]"
vehement_soup,,,0,1239,84197,2018-02-12 11:09:53,2020-05-04 13:11:34,2,"Make this ‘heavenly’ soup.Roast butternut squash,sweet potato,onions,carrots, red chilli &amp; garlic with a drizzle of oil &amp; a generous sprinkle of Spice Way’s Heavenly Herbs Blend https://t.co/XosEd94YSW  AVAILABLE ONLINE @ https://t.co/Yy2f6KKSG1 #vegan #soup #tasty https://t.co/4e7SHu9Pnv",[]
Emily_gracer,i pretty much just care about Jesus & dogs // vegan environmentalist,Ewood ➡️ Lookout Mtn,303,342,11884,2016-10-12 23:02:19,2020-05-04 13:11:23,48,"Tasty ✅ 
Satisfying ✅ 
Easy to make ✅ 
Doesn't harm any animals ✅

These #vegan chicken alfredo lasagna rolls are so delicious, you'll want to make them every night! https://t.co/5RBkCeuf3a","[{'text': 'vegan', 'indices': [83, 89]}]"
BlogNetwork_,Blogging community 🌟 Run by @estellosaurus and @_Simply_Stacey 🌟 Use #TheBlogNetwork,"England, United Kingdom",205,345,8889,2017-11-14 11:22:37,2020-05-04 13:11:23,3,"THE BEST VEGAN DALGONA COFFEE ☕️ RECIPE ⤵️⤵️⤵️
https://t.co/T2vD3g1iKj #vegan #coffee #dalgonacoffee #Bloggerstribe @LifestyleBlogs_ @BloggingBabesRT  @BeautyinfluRT #teacupclub #OurBloggingLife @BBlogRT #TheBlogNetwork @wakeup_blog @UKBloggersRT @sotonbloggers https://t.co/NvyU3WjoHr","[{'text': 'vegan', 'indices': [87, 93]}, {'text': 'coffee', 'indices': [94, 101]}, {'text': 'dalgonacoffee', 'indices': [102, 116]}, {'text': 'Bloggerstribe', 'indices': [117, 131]}]"
JackMac,,"Dublin City, Ireland",402,243,17050,2016-04-29 11:49:34,2020-05-04 13:11:22,99,#Competition Just FOLLOW US &amp; RETWEET to enter! #win this luxury Bardot haircare set worth over £30! #vegan #haircare #giveaway ⁦@MMCL_LDN⁩ #stayinandwashyourhair 💁🏼‍♀️💁🏾 https://t.co/KRlCURkoYX,"[{'text': 'Competition', 'indices': [16, 28]}, {'text': 'win', 'indices': [68, 72]}, {'text': 'vegan', 'indices': [121, 127]}, {'text': 'haircare', 'indices': [128, 137]}]"
megthebrowndog,"Pisces. Former Scouser & cat woman. Vegan since 1996. Feminist, socialist married dyke. Often in the 🛀🏻 I tweet too much 😬🐠🐟🐬🐳🌏","Brighton, England",982,891,6557,2010-03-15 22:12:37,2020-05-04 13:11:12,1,"Whatever path you follow...
If none, maybe light a candle for the animals?
Lokah Samastah Sukhino Bhavantu. (May all beings be happy &amp; free, &amp; may the thoughts, words &amp; actions of my own life contribute in some way to that happiness &amp; freedom for all)
#vegan😊🙏 https://t.co/hbBWjTchbe",[]
CuriousityClub,"We ❤️ House Music
Back w/ @lizziecurious on @codesouthradio ASAP... Till then stay safe & stay home everyone! 
Listen to Lizzie's uplifting house mixes👇🏼","Brighton, England",1599,2303,2265,2012-11-09 20:56:00,2020-05-04 13:10:59,2,"I'll be live on @LDNVegans YouTube for a Q&amp;A at 1500 UK time TODAY!

Hope you can join us for vegan chat, music, living in lockdown and more 💚

https://t.co/Ceo1ONMS9r

#vegantwitter #govegan @Veganbabelife @SteveW69x @VeganRunnersUK @ThatVeganScot",[]
paleobyleo,Discover new recipes from across the World saving you much time of visiting each website yourself.  👨‍🍳  #food #recipes #paleo #vegan #lowcarb 👩‍🍳,Europe,4246,5839,102956,2018-01-14 12:32:32,2020-05-04 13:10:49,6,"Instant Pot™ Stewed Apples are quick, easy, healthy, and delicious! With just 2 tablespoons of maple syrup to sweeten them, this is a weekday treat you can feel good about! https://t.co/kCDNwrZdH5 @InstantPot #vegan #vegetarian https://t.co/QJ3DP6fQ7e",[]
FoodBev,"Global food, beverage & dairy news. Follow for daily updates & analysis. Subscribe for sector updates: https://t.co/8d5hIUeIGb","Bath, UK",2433,28558,30348,2009-02-10 13:30:39,2020-05-04 13:10:30,0,".@2SFGofficial-owned @HollandsPies has entered the #vegan category for the first time with the launch of a Vegan Roll, as it aims to meet the ever-increasing demand for the sector
https://t.co/lN6REbmX6S https://t.co/UnwTcO5h9M","[{'text': 'vegan', 'indices': [51, 57]}]"
